210
3
0.8710	5.763	3.312
0.8811	5.554	3.333
0.9050	5.291	3.337
0.8955	5.324	3.379
0.9034	5.658	3.562
0.8951	5.386	3.312
0.8799	5.563	3.259
0.8911	5.420	3.302
0.8747	6.053	3.465
0.8880	5.884	3.505
0.8696	5.714	3.242
0.8796	5.438	3.201
0.8880	5.439	3.199
0.8759	5.479	3.156
0.8744	5.482	3.114
0.8993	5.351	3.333
0.9183	5.119	3.383
0.9058	5.527	3.514
0.9153	5.205	3.466
0.8686	5.226	3.049
0.8584	5.658	3.129
0.8722	5.520	3.168
0.8988	5.618	3.507
0.8664	5.099	2.936
0.8657	5.789	3.245
0.8849	5.833	3.421
0.8641	5.395	3.026
0.8564	5.395	2.956
0.8820	5.541	3.221
0.8604	5.516	3.065
0.8662	5.454	2.975
0.8724	5.757	3.371
0.8529	5.717	3.186
0.8728	5.585	3.150
0.8779	5.712	3.328
0.9000	5.709	3.485
0.8734	5.826	3.464
0.9079	5.832	3.683
0.8823	5.656	3.288
0.8944	5.397	3.298
0.8871	5.348	3.156
0.8852	5.351	3.158
0.9009	5.138	3.201
0.8820	5.877	3.396
0.8986	5.579	3.462
0.8794	5.376	3.155
0.8861	5.701	3.393
0.8883	5.570	3.377
0.8819	5.545	3.291
0.8676	5.678	3.258
0.8751	5.585	3.272
0.8923	5.674	3.434
0.8538	5.715	3.113
0.8831	5.504	3.199
0.8557	5.741	3.113
0.8658	5.702	3.212
0.8818	5.388	3.377
0.9006	5.384	3.412
0.8857	5.662	3.419
0.8392	5.159	3.032
0.8683	5.008	2.850
0.8840	4.902	2.879
0.8923	5.076	3.042
0.8680	5.395	3.070
0.8716	5.262	3.026
0.8879	5.139	3.119
0.8726	5.630	3.190
0.8625	5.609	3.158
0.8726	5.569	3.153
0.8458	5.412	2.882
0.8673	6.191	3.561
0.8623	5.998	3.484
0.8763	5.978	3.594
0.9081	6.154	3.930
0.8786	6.017	3.486
0.8638	5.927	3.438
0.8599	6.064	3.403
0.8763	6.579	3.814
0.8750	6.445	3.639
0.8892	5.850	3.566
0.8823	5.875	3.467
0.8977	6.006	3.857
0.8894	6.285	3.864
0.8779	6.384	3.772
0.8780	6.366	3.801
0.8870	6.173	3.651
0.8969	6.084	3.764
0.8590	6.549	3.670
0.8989	6.573	4.033
0.9031	6.450	4.032
0.8746	6.581	3.785
0.8984	6.172	3.796
0.8906	6.272	3.693
0.9066	6.037	3.860
0.8452	6.666	3.485
0.8648	6.139	3.463
0.8815	6.341	3.810
0.8687	6.449	3.552
0.8637	6.271	3.512
0.8810	6.219	3.684
0.8866	5.718	3.525
0.8992	5.890	3.694
0.8985	6.113	3.892
0.8717	6.369	3.681
0.8829	6.248	3.755
0.8917	6.037	3.786
0.9056	6.152	3.806
0.8800	6.033	3.573
0.8752	6.675	3.763
0.8865	6.153	3.674
0.8921	6.107	3.769
0.8716	6.303	3.791
0.9035	6.183	3.902
0.8722	6.259	3.737
0.8859	6.563	3.991
0.8854	6.416	3.719
0.9077	6.051	3.897
0.8890	6.245	3.815
0.9008	6.227	3.769
0.8811	6.493	3.857
0.8897	6.315	3.962
0.8772	6.059	3.563
0.8588	5.762	3.387
0.9077	5.980	3.771
0.9064	5.363	3.582
0.8999	6.111	3.869
0.8698	6.285	3.594
0.8993	5.979	3.687
0.8735	6.513	3.773
0.8991	5.791	3.690
0.9108	5.979	3.755
0.8942	6.144	3.825
0.8706	5.884	3.268
0.8644	5.845	3.395
0.8823	5.776	3.408
0.8990	5.477	3.465
0.8785	6.145	3.574
0.8527	5.920	3.231
0.8580	5.832	3.286
0.8850	5.872	3.472
0.8480	5.472	2.994
0.8613	5.541	3.073
0.8620	5.389	3.074
0.8652	5.224	2.967
0.8274	5.314	2.777
0.8167	5.279	2.687
0.8335	5.176	2.719
0.8658	5.267	2.967
0.8491	5.386	2.911
0.8107	5.317	2.648
0.8496	5.263	2.840
0.8249	5.405	2.776
0.8333	5.408	2.833
0.8266	5.220	2.693
0.8382	5.175	2.755
0.8253	5.250	2.675
0.8596	5.053	2.849
0.8081	5.394	2.745
0.8082	5.444	2.678
0.8263	5.304	2.695
0.8425	5.451	2.879
0.8503	5.350	2.810
0.8416	5.267	2.847
0.8558	5.333	2.968
0.8558	5.011	2.794
0.8793	5.105	2.941
0.8462	5.319	2.897
0.8443	5.417	2.837
0.8291	5.176	2.668
0.8359	5.090	2.715
0.8189	5.325	2.701
0.8455	5.167	2.845
0.8419	5.088	2.763
0.8375	5.136	2.763
0.8099	5.278	2.641
0.8590	4.981	2.821
0.8355	5.186	2.710
0.8329	5.145	2.642
0.8473	5.180	2.758
0.8453	5.357	2.893
0.8560	5.090	2.775
0.8706	5.236	3.017
0.8579	5.240	2.909
0.8575	5.108	2.850
0.8541	5.495	3.026
0.8198	5.363	2.683
0.8198	5.413	2.716
0.8372	5.088	2.675
0.8594	5.089	2.821
0.8648	4.899	2.787
0.8390	5.046	2.717
0.8563	5.091	2.804
0.8795	5.132	2.953
0.8256	5.180	2.630
0.8639	5.236	2.975
0.8860	5.160	3.126
0.8786	5.224	3.054
0.8849	5.320	3.128
0.8481	5.410	2.911
0.8964	5.073	3.155
0.8609	5.219	2.989
0.8977	4.984	3.135
0.8680	5.009	2.810
0.8874	5.183	3.091
0.8567	5.204	2.960
0.8783	5.137	2.981
0.8511	5.140	2.795
0.8883	5.236	3.232
0.8521	5.175	2.836
0.8684	5.243	2.974
