210
5
14.84	0.8710	5.763	3.312	5.220
14.57	0.8811	5.554	3.333	4.956
14.09	0.9050	5.291	3.337	4.825
13.94	0.8955	5.324	3.379	4.805
14.99	0.9034	5.658	3.562	5.175
14.21	0.8951	5.386	3.312	4.956
14.49	0.8799	5.563	3.259	5.219
14.10	0.8911	5.420	3.302	5.000
15.46	0.8747	6.053	3.465	5.877
15.25	0.8880	5.884	3.505	5.533
14.85	0.8696	5.714	3.242	5.314
14.16	0.8796	5.438	3.201	5.001
14.02	0.8880	5.439	3.199	4.738
14.06	0.8759	5.479	3.156	4.872
14.05	0.8744	5.482	3.114	4.825
14.28	0.8993	5.351	3.333	4.781
13.83	0.9183	5.119	3.383	4.781
14.75	0.9058	5.527	3.514	5.046
14.21	0.9153	5.205	3.466	4.649
13.57	0.8686	5.226	3.049	4.914
14.40	0.8584	5.658	3.129	5.176
14.26	0.8722	5.520	3.168	5.219
14.90	0.8988	5.618	3.507	5.091
13.23	0.8664	5.099	2.936	4.961
14.76	0.8657	5.789	3.245	5.001
15.16	0.8849	5.833	3.421	5.307
13.76	0.8641	5.395	3.026	4.825
13.67	0.8564	5.395	2.956	4.869
14.18	0.8820	5.541	3.221	5.038
14.02	0.8604	5.516	3.065	5.097
13.82	0.8662	5.454	2.975	5.056
14.94	0.8724	5.757	3.371	5.228
14.41	0.8529	5.717	3.186	5.299
14.17	0.8728	5.585	3.150	5.012
14.68	0.8779	5.712	3.328	5.360
15.00	0.9000	5.709	3.485	5.443
15.27	0.8734	5.826	3.464	5.527
15.38	0.9079	5.832	3.683	5.484
14.52	0.8823	5.656	3.288	5.309
14.17	0.8944	5.397	3.298	5.001
13.85	0.8871	5.348	3.156	5.178
13.85	0.8852	5.351	3.158	5.176
13.55	0.9009	5.138	3.201	4.783
14.86	0.8820	5.877	3.396	5.528
14.54	0.8986	5.579	3.462	5.180
14.04	0.8794	5.376	3.155	4.961
14.76	0.8861	5.701	3.393	5.132
14.56	0.8883	5.570	3.377	5.175
14.52	0.8819	5.545	3.291	5.111
14.67	0.8676	5.678	3.258	5.351
14.40	0.8751	5.585	3.272	5.144
14.91	0.8923	5.674	3.434	5.136
14.61	0.8538	5.715	3.113	5.396
14.28	0.8831	5.504	3.199	5.224
14.60	0.8557	5.741	3.113	5.487
14.77	0.8658	5.702	3.212	5.439
14.35	0.8818	5.388	3.377	5.044
14.43	0.9006	5.384	3.412	5.088
14.77	0.8857	5.662	3.419	5.222
13.47	0.8392	5.159	3.032	4.519
12.86	0.8683	5.008	2.850	4.607
12.63	0.8840	4.902	2.879	4.703
13.19	0.8923	5.076	3.042	4.605
13.84	0.8680	5.395	3.070	5.088
13.57	0.8716	5.262	3.026	4.782
13.50	0.8879	5.139	3.119	4.607
14.37	0.8726	5.630	3.190	5.150
14.29	0.8625	5.609	3.158	5.132
14.39	0.8726	5.569	3.153	5.300
13.75	0.8458	5.412	2.882	5.067
15.98	0.8673	6.191	3.561	6.060
15.67	0.8623	5.998	3.484	5.877
15.73	0.8763	5.978	3.594	5.791
16.26	0.9081	6.154	3.930	6.079
15.51	0.8786	6.017	3.486	5.841
15.62	0.8638	5.927	3.438	5.795
15.91	0.8599	6.064	3.403	5.922
17.23	0.8763	6.579	3.814	6.451
16.49	0.8750	6.445	3.639	6.362
15.55	0.8892	5.850	3.566	5.746
15.34	0.8823	5.875	3.467	5.880
16.19	0.8977	6.006	3.857	5.879
16.89	0.8894	6.285	3.864	6.187
16.74	0.8779	6.384	3.772	6.273
16.71	0.8780	6.366	3.801	6.185
16.09	0.8870	6.173	3.651	6.197
16.26	0.8969	6.084	3.764	6.109
16.66	0.8590	6.549	3.670	6.498
17.21	0.8989	6.573	4.033	6.231
17.05	0.9031	6.450	4.032	6.321
16.99	0.8746	6.581	3.785	6.449
